date,reading_time,bin_id,zone,fill_pct,volume_actual_m3,volume_nominal_m3,weight_estimated_kg,sensor_status,temperature_c,humidity_pct,day_of_week,is_holiday,lat,lng
2024-01-01,07:00:00,BIN-001,Ariana Centre,35.7,0.0856,0.24,25.7,OK,21.7,38.0,Monday,False,36.860632,10.157948
2024-01-01,07:00:00,BIN-002,Ariana Centre,40.3,0.4437,1.1,133.1,OK,30.4,37.5,Monday,False,36.861056,10.146156
2024-01-01,07:00:00,BIN-003,Ariana Centre,31.4,0.0755,0.24,22.6,OK,33.6,48.7,Monday,False,36.859942,10.161374
2024-01-01,07:00:00,BIN-004,Ariana Centre,43.3,0.2858,0.66,85.7,OK,8.1,69.9,Monday,False,36.867942,10.16125
2024-01-01,07:00:00,BIN-005,Ariana Centre,35.2,0.2324,0.66,69.7,OK,27.8,77.6,Monday,False,36.863916,10.172743
2024-01-01,07:00:00,BIN-006,Ariana Centre,31.0,0.0745,0.24,22.3,OK,18.0,72.0,Monday,False,36.859477,10.150666
2024-01-01,07:00:00,BIN-007,Ariana Centre,29.1,0.0698,0.24,20.9,OK,34.1,83.9,Monday,False,36.86867,10.166236
2024-01-01,07:00:00,BIN-008,Ariana Centre,25.5,0.0611,0.24,18.3,OK,33.7,52.6,Monday,False,36.861743,10.163506
2024-01-01,07:00:00,BIN-009,Ariana Centre,31.0,0.2043,0.66,61.3,OK,35.4,51.0,Monday,False,36.868438,10.164345
2024-01-01,07:00:00,BIN-010,Ariana Centre,28.2,0.1859,0.66,55.8,OK,27.6,38.4,Monday,False,36.863264,10.164165
2024-01-01,07:00:00,BIN-011,Ariana Centre,40.4,0.4448,1.1,133.4,OK,37.0,48.3,Monday,False,36.874444,10.158552
2024-01-01,07:00:00,BIN-012,Ariana Centre,29.1,0.0698,0.24,20.9,OK,11.0,80.1,Monday,False,36.850183,10.164451
2024-01-01,07:00:00,BIN-013,Ariana Centre,31.2,0.2057,0.66,61.7,OK,34.1,83.3,Monday,False,36.856557,10.147593
2024-01-01,07:00:00,BIN-014,Ariana Centre,29.9,0.0718,0.24,21.5,OK,16.0,64.3,Monday,False,36.855468,10.150742
2024-01-01,07:00:00,BIN-015,Ariana Centre,30.9,0.2039,0.66,61.2,OK,17.9,67.1,Monday,False,36.860375,10.17612
2024-01-01,07:00:00,BIN-016,Ariana Centre,37.7,0.0906,0.24,27.2,OK,26.8,78.8,Monday,False,36.85667,10.173221
2024-01-01,07:00:00,BIN-017,Ariana Centre,31.0,0.3414,1.1,102.4,OK,26.5,42.9,Monday,False,36.859172,10.162528
2024-01-01,07:00:00,BIN-018,Ariana Centre,34.2,0.0822,0.24,24.7,OK,14.8,35.0,Monday,False,36.857675,10.17256
2024-01-01,07:00:00,BIN-019,Ariana Centre,30.6,0.2021,0.66,60.6,OK,29.1,35.5,Monday,False,36.865148,10.164935
2024-01-01,07:00:00,BIN-020,Ariana Centre,29.0,0.1913,0.66,57.4,OK,8.9,47.8,Monday,False,36.861834,10.148947
2024-01-01,07:00:00,BIN-021,Ariana Centre,36.2,0.0869,0.24,26.1,OK,20.9,43.4,Monday,False,36.867025,10.159894
2024-01-01,07:00:00,BIN-022,Ariana Centre,32.7,0.0785,0.24,23.6,OK,13.4,39.6,Monday,False,36.865396,10.154941
2024-01-01,07:00:00,BIN-023,Ariana Centre,27.0,0.1782,0.66,53.5,OK,28.5,57.4,Monday,False,36.855109,10.154035
2024-01-01,07:00:00,BIN-024,Ariana Centre,36.0,0.3962,1.1,118.9,OK,27.1,55.3,Monday,False,36.861911,10.172562
2024-01-01,07:00:00,BIN-025,Ariana Centre,30.8,0.2032,0.66,61.0,OK,22.0,45.8,Monday,False,36.871558,10.170473
2024-01-01,07:00:00,BIN-026,Ariana Centre,34.5,0.0828,0.24,24.8,OK,36.4,84.3,Monday,False,36.85807,10.16772
2024-01-01,07:00:00,BIN-027,Ariana Centre,33.0,0.218,0.66,65.4,OK,28.7,55.1,Monday,False,36.86693,10.153904
2024-01-01,07:00:00,BIN-028,Ariana Centre,40.3,0.0967,0.24,29.0,OK,33.6,35.9,Monday,False,36.872756,10.151777
2024-01-01,07:00:00,BIN-029,Ariana Centre,29.9,0.1974,0.66,59.2,OK,16.9,68.5,Monday,False,36.857908,10.155824
2024-01-01,07:00:00,BIN-030,Ariana Centre,37.0,0.0888,0.24,26.6,OK,19.9,30.4,Monday,False,36.871117,10.153595
2024-01-01,07:00:00,BIN-031,Ariana Centre,33.1,0.0794,0.24,23.8,OK,37.2,80.1,Monday,False,36.870916,10.149366
2024-01-01,07:00:00,BIN-032,Ariana Centre,27.4,0.0657,0.24,19.7,OK,35.1,72.7,Monday,False,36.871473,10.1486
2024-01-01,07:00:00,BIN-033,Ariana Centre,40.6,0.0973,0.24,29.2,OK,14.6,40.5,Monday,False,36.871769,10.1583
2024-01-01,07:00:00,BIN-034,Ariana Centre,36.3,0.2396,0.66,71.9,OK,31.0,67.4,Monday,False,36.867188,10.15775
2024-01-01,07:00:00,BIN-035,Ariana Centre,32.6,0.2152,0.66,64.6,OK,26.8,32.2,Monday,False,36.874699,10.156385
2024-01-01,07:00:00,BIN-036,Ariana Centre,41.1,0.2714,0.66,81.4,OK,18.9,37.2,Monday,False,36.860031,10.149619
2024-01-01,07:00:00,BIN-037,Ariana Centre,40.1,0.0962,0.24,28.9,OK,20.5,41.0,Monday,False,36.869333,10.153307
2024-01-01,07:00:00,BIN-038,Ariana Centre,27.9,0.1844,0.66,55.3,OK,19.0,57.6,Monday,False,36.87197,10.161657
2024-01-01,07:00:00,BIN-039,Ariana Centre,33.0,0.0793,0.24,23.8,OK,35.4,81.9,Monday,False,36.861142,10.156045
2024-01-01,07:00:00,BIN-040,Ariana Centre,30.1,0.1985,0.66,59.6,OK,34.1,74.2,Monday,False,36.86795,10.163549
2024-01-01,07:00:00,BIN-041,Ettadhamen,34.5,0.2275,0.66,68.2,OK,30.6,42.4,Monday,False,36.848808,10.142066
2024-01-01,07:00:00,BIN-042,Ettadhamen,38.7,0.093,0.24,27.9,OK,19.9,76.5,Monday,False,36.842621,10.115184
2024-01-01,07:00:00,BIN-043,Ettadhamen,30.0,0.0719,0.24,21.6,OK,19.8,44.5,Monday,False,36.832017,10.134613
2024-01-01,07:00:00,BIN-044,Ettadhamen,37.5,0.0901,0.24,27.0,OK,30.5,44.4,Monday,False,36.833791,10.115154
2024-01-01,07:00:00,BIN-045,Ettadhamen,33.5,0.0805,0.24,24.2,OK,19.1,67.1,Monday,False,36.833325,10.143271
2024-01-01,07:00:00,BIN-046,Ettadhamen,37.5,0.0899,0.24,27.0,OK,36.3,48.0,Monday,False,36.831676,10.13348
2024-01-01,07:00:00,BIN-047,Ettadhamen,31.1,0.2049,0.66,61.5,OK,27.1,55.5,Monday,False,36.82825,10.135481
2024-01-01,07:00:00,BIN-048,Ettadhamen,29.1,0.3197,1.1,95.9,OK,11.5,32.5,Monday,False,36.852356,10.12993
2024-01-01,07:00:00,BIN-049,Ettadhamen,34.8,0.0835,0.24,25.1,OK,11.5,42.9,Monday,False,36.844727,10.140177
2024-01-01,07:00:00,BIN-050,Ettadhamen,33.7,0.0809,0.24,24.3,OK,19.1,82.2,Monday,False,36.840321,10.130674
2024-01-01,07:00:00,BIN-051,Ettadhamen,28.4,0.3124,1.1,93.7,OK,25.6,70.0,Monday,False,36.828295,10.137684
2024-01-01,07:00:00,BIN-052,Ettadhamen,31.8,0.0763,0.24,22.9,OK,33.0,63.9,Monday,False,36.838952,10.123487
2024-01-01,07:00:00,BIN-053,Ettadhamen,36.2,0.087,0.24,26.1,OK,28.7,41.9,Monday,False,36.839701,10.125848
2024-01-01,07:00:00,BIN-054,Ettadhamen,41.6,0.2748,0.66,82.4,OK,18.9,84.0,Monday,False,36.82718,10.132353
2024-01-01,07:00:00,BIN-055,Ettadhamen,34.6,0.2286,0.66,68.6,OK,27.3,33.3,Monday,False,36.845103,10.133511
